"CODE","CLASS","Freq","FAMILY","%Tot","%AG"
226,"Dbl Crop Oats/Corn",444673,"DOUBLE-CROP",0.003,0.03275
227,"Lettuce",322744,"ASTERACEAE",0.0022,0.02377
229,"Pumpkins",100225,"CUCURBITACEAE",7e-04,0.00738
230,"Dbl Crop Lettuce/Durum Wht",167052,"DOUBLE-CROP",0.0011,0.0123
231,"Dbl Crop Lettuce/Cantaloupe",8880,"DOUBLE-CROP",1e-04,0.00065
232,"Dbl Crop Lettuce/Cotton",66368,"DOUBLE-CROP",4e-04,0.00489
234,"Dbl Crop Durum Wht/Sorghum",3598,"DOUBLE-CROP",0,0.00027
235,"Dbl Crop Barley/Sorghum",30190,"DOUBLE-CROP",2e-04,0.00222
236,"Dbl Crop WinWht/Sorghum",871832,"DOUBLE-CROP",0.0059,0.06422
237,"Dbl Crop Barley/Corn",141870,"DOUBLE-CROP",0.001,0.01045
238,"Dbl Crop WinWht/Cotton",820961,"DOUBLE-CROP",0.0055,0.06047
239,"Dbl Crop Soybeans/Cotton",16994,"DOUBLE-CROP",1e-04,0.00125
240,"Dbl Crop Soybeans/Oats",70356,"DOUBLE-CROP",5e-04,0.00518
241,"Dbl Crop Corn/Soybeans",171634,"DOUBLE-CROP",0.0012,0.01264
242,"Blueberries",598852,"ERICACEAE",0.004,0.04411
243,"Cabbage",78811,"BRASSICACEAE",5e-04,0.00581
244,"Cauliflower",4858,"BRASSICACEAE",0,0.00036
245,"Celery",2961,"APIACEAE",0,0.00022
246,"Radishes",28492,"BRASSICACEAE",2e-04,0.0021
247,"Turnips",6814,"BRASSICACEAE",0,5e-04
248,"Eggplants",1185,"SOLANACEAE",0,9e-05
249,"Gourds",834,"CUCURBITACEAE",0,6e-05
250,"Cranberries",167515,"ERICACEAE",0.0011,0.01234
254,"Dbl Crop Barley/Soybeans",155134,"DOUBLE-CROP",0.001,0.01143
