"CODE","CLASS","Freq","FAMILY","%TOT","%AG"
212,"Oranges",5685824,"RUTACEAE",0.0657,0.39766
213,"Honeydew Melons",21594,"CUCURBITACEAE",2e-04,0.00151
214,"Broccoli",101294,"BRASSICACEAE",0.0012,0.00708
216,"Peppers",73815,"SOLANACEAE",9e-04,0.00516
217,"Pomegranates",64425,"PRUNICACEAE",7e-04,0.00451
218,"Nectarines",22785,"ROSACEAE",3e-04,0.00159
219,"Greens",83180,"UNDEFINED",0.001,0.00582
220,"Plums",190249,"ROSACEAE",0.0022,0.01331
221,"Strawberries",273157,"ROSACEAE",0.0032,0.0191
222,"Squash",71993,"CUCURBITACEAE",8e-04,0.00504
223,"Apricots",8868,"ROSACEAE",1e-04,0.00062
224,"Vetch",13646,"FABACEAE",2e-04,0.00095
225,"Dbl Crop WinWht/Corn",1884074,"DOUBLE-CROP",0.0218,0.13177
226,"Dbl Crop Oats/Corn",414993,"DOUBLE-CROP",0.0048,0.02902
227,"Lettuce",180428,"ASTERACEAE",0.0021,0.01262
229,"Pumpkins",134060,"CUCURBITACEAE",0.0015,0.00938
230,"Dbl Crop Lettuce/Durum Wht",127653,"DOUBLE-CROP",0.0015,0.00893
231,"Dbl Crop Lettuce/Cantaloupe",15931,"DOUBLE-CROP",2e-04,0.00111
232,"Dbl Crop Lettuce/Cotton",41448,"DOUBLE-CROP",5e-04,0.0029
233,"Dbl Crop Lettuce/Barley",754,"DOUBLE-CROP",0,5e-05
234,"Dbl Crop Durum Wht/Sorghum",12078,"DOUBLE-CROP",1e-04,0.00084
235,"Dbl Crop Barley/Sorghum",92606,"DOUBLE-CROP",0.0011,0.00648
236,"Dbl Crop WinWht/Sorghum",2749717,"DOUBLE-CROP",0.0318,0.19231
237,"Dbl Crop Barley/Corn",222688,"DOUBLE-CROP",0.0026,0.01557
238,"Dbl Crop WinWht/Cotton",1553798,"DOUBLE-CROP",0.018,0.10867
239,"Dbl Crop Soybeans/Cotton",19542,"DOUBLE-CROP",2e-04,0.00137
240,"Dbl Crop Soybeans/Oats",107786,"DOUBLE-CROP",0.0012,0.00754
241,"Dbl Crop Corn/Soybeans",201586,"DOUBLE-CROP",0.0023,0.0141
242,"Blueberries",604233,"ERICACEAE",0.007,0.04226
243,"Cabbage",89138,"BRASSICACEAE",0.001,0.00623
244,"Cauliflower",7231,"BRASSICACEAE",1e-04,0.00051
245,"Celery",4924,"APIACEAE",1e-04,0.00034
246,"Radishes",59400,"BRASSICACEAE",7e-04,0.00415
247,"Turnips",7967,"BRASSICACEAE",1e-04,0.00056
248,"Eggplants",1761,"SOLANACEAE",0,0.00012
249,"Gourds",2598,"CUCURBITACEAE",0,0.00018
250,"Cranberries",137468,"ERICACEAE",0.0016,0.00961
254,"Dbl Crop Barley/Soybeans",484524,"DOUBLE-CROP",0.0056,0.03389
