"CODE","CLASS","Freq","FAMILY","%Tot","%AG"
195,"Herbaceous Wetlands",105625576,"NON-AG",0.7115,0
204,"Pistachios",997456,"ANACARDIACEAE",0.0067,0.07351
205,"Triticale",680636,"POACEAE",0.0046,0.05016
206,"Carrots",189708,"APIACEAE",0.0013,0.01398
207,"Asparagus",88720,"ASPARAGACEAE",6e-04,0.00654
208,"Garlic",93896,"AMARYLLIDACEAE",6e-04,0.00692
209,"Cantaloupes",103122,"CUCURBITACEAE",7e-04,0.0076
210,"Prunes",2879,"ROSACEAE",0,0.00021
211,"Olives",303978,"OLEACEAE",0.002,0.0224
212,"Oranges",5694378,"RUTACEAE",0.0384,0.41966
213,"Honeydew Melons",23409,"CUCURBITACEAE",2e-04,0.00173
214,"Broccoli",47274,"BRASSICACEAE",3e-04,0.00348
216,"Peppers",90930,"SOLANACEAE",6e-04,0.0067
217,"Pomegranates",149269,"PRUNICACEAE",0.001,0.011
218,"Nectarines",40785,"ROSACEAE",3e-04,0.00301
219,"Greens",43391,"UNDEFINED",3e-04,0.0032
220,"Plums",190190,"ROSACEAE",0.0013,0.01402
221,"Strawberries",98198,"ROSACEAE",7e-04,0.00724
222,"Squash",88052,"CUCURBITACEAE",6e-04,0.00649
223,"Apricots",9035,"ROSACEAE",1e-04,0.00067
224,"Vetch",47130,"FABACEAE",3e-04,0.00347
225,"Dbl Crop WinWht/Corn",1660728,"DOUBLE-CROP",0.0112,0.12239
226,"Dbl Crop Oats/Corn",518091,"DOUBLE-CROP",0.0035,0.03818
227,"Lettuce",113689,"ASTERACEAE",8e-04,0.00838
229,"Pumpkins",91007,"CUCURBITACEAE",6e-04,0.00671
230,"Dbl Crop Lettuce/Durum Wht",135224,"DOUBLE-CROP",9e-04,0.00997
231,"Dbl Crop Lettuce/Cantaloupe",12922,"DOUBLE-CROP",1e-04,0.00095
232,"Dbl Crop Lettuce/Cotton",53192,"DOUBLE-CROP",4e-04,0.00392
233,"Dbl Crop Lettuce/Barley",449,"DOUBLE-CROP",0,3e-05
234,"Dbl Crop Durum Wht/Sorghum",1599,"DOUBLE-CROP",0,0.00012
235,"Dbl Crop Barley/Sorghum",46207,"DOUBLE-CROP",3e-04,0.00341
236,"Dbl Crop WinWht/Sorghum",1334737,"DOUBLE-CROP",0.009,0.09837
237,"Dbl Crop Barley/Corn",142148,"DOUBLE-CROP",0.001,0.01048
238,"Dbl Crop WinWht/Cotton",1286425,"DOUBLE-CROP",0.0087,0.09481
239,"Dbl Crop Soybeans/Cotton",129166,"DOUBLE-CROP",9e-04,0.00952
240,"Dbl Crop Soybeans/Oats",74581,"DOUBLE-CROP",5e-04,0.0055
241,"Dbl Crop Corn/Soybeans",279172,"DOUBLE-CROP",0.0019,0.02057
242,"Blueberries",557847,"ERICACEAE",0.0038,0.04111
243,"Cabbage",85678,"BRASSICACEAE",6e-04,0.00631
244,"Cauliflower",11643,"BRASSICACEAE",1e-04,0.00086
245,"Celery",3025,"APIACEAE",0,0.00022
246,"Radishes",27493,"BRASSICACEAE",2e-04,0.00203
247,"Turnips",9873,"BRASSICACEAE",1e-04,0.00073
248,"Eggplants",694,"SOLANACEAE",0,5e-05
249,"Gourds",1034,"CUCURBITACEAE",0,8e-05
250,"Cranberries",177839,"ERICACEAE",0.0012,0.01311
254,"Dbl Crop Barley/Soybeans",466527,"DOUBLE-CROP",0.0031,0.03438
